Running 1 simulations with a radial tolerance of 0.001000
Running simulation 0
design_bus_layout_inputs_icUsed = 5
[30, 128]: input idx: -1, input_number: 5 sample: 0
[32, 147]: input idx: -1, input_number: 5 sample: 0
[34, 44]: input idx: -1, input_number: 5 sample: 0
[36, 43]: input idx: -1, input_number: 5 sample: 0
[7, 13]: input idx: -1, input_number: 5 sample: 0
[38, 139]: input idx: -1, input_number: 5 sample: 0
[30, 129]: input idx: -1, input_number: 5 sample: 0
[32, 148]: input idx: -1, input_number: 5 sample: 0
[34, 45]: input idx: -1, input_number: 5 sample: 0
[36, 44]: input idx: -1, input_number: 5 sample: 0
[7, 14]: input idx: -1, input_number: 5 sample: 0
[38, 140]: input idx: -1, input_number: 5 sample: 0
[30, 130]: input idx: -1, input_number: 5 sample: 0
[1, 128]: input idx: -1, input_number: 5 sample: 0
[32, 149]: input idx: -1, input_number: 5 sample: 0
[34, 46]: input idx: -1, input_number: 5 sample: 0
[36, 45]: input idx: -1, input_number: 5 sample: 0
[7, 15]: input idx: -1, input_number: 5 sample: 0
[38, 141]: input idx: -1, input_number: 5 sample: 0
[30, 131]: input idx: -1, input_number: 5 sample: 0
[1, 129]: input idx: -1, input_number: 5 sample: 0
[32, 150]: input idx: -1, input_number: 5 sample: 0
[3, 32]: input idx: -1, input_number: 5 sample: 0
[34, 47]: input idx: -1, input_number: 5 sample: 0
[36, 46]: input idx: -1, input_number: 5 sample: 0
[7, 16]: input idx: -1, input_number: 5 sample: 0
[38, 142]: input idx: -1, input_number: 5 sample: 0
[30, 132]: input idx: -1, input_number: 5 sample: 0
[1, 130]: input idx: -1, input_number: 5 sample: 0
[32, 151]: input idx: -1, input_number: 5 sample: 0
[3, 33]: input idx: -1, input_number: 5 sample: 0
[34, 48]: input idx: -1, input_number: 5 sample: 0
[36, 47]: input idx: -1, input_number: 5 sample: 0
[7, 17]: input idx: -1, input_number: 5 sample: 0
[38, 143]: input idx: -1, input_number: 5 sample: 0
[30, 133]: input idx: -1, input_number: 5 sample: 0
[1, 131]: input idx: -1, input_number: 5 sample: 0
[32, 152]: input idx: -1, input_number: 5 sample: 0
[3, 34]: input idx: -1, input_number: 5 sample: 0
[34, 49]: input idx: -1, input_number: 5 sample: 0
[36, 48]: input idx: -1, input_number: 5 sample: 0
[7, 18]: input idx: -1, input_number: 5 sample: 0
[38, 144]: input idx: -1, input_number: 5 sample: 0
[30, 134]: input idx: -1, input_number: 5 sample: 0
[1, 132]: input idx: -1, input_number: 5 sample: 0
[32, 153]: input idx: -1, input_number: 5 sample: 0
[3, 35]: input idx: -1, input_number: 5 sample: 0
[34, 50]: input idx: -1, input_number: 5 sample: 0
[36, 49]: input idx: -1, input_number: 5 sample: 0
[7, 19]: input idx: -1, input_number: 5 sample: 0
[38, 145]: input idx: -1, input_number: 5 sample: 0
[30, 135]: input idx: -1, input_number: 5 sample: 0
[1, 133]: input idx: -1, input_number: 5 sample: 0
[32, 154]: input idx: -1, input_number: 5 sample: 0
[3, 36]: input idx: -1, input_number: 5 sample: 0
[34, 51]: input idx: -1, input_number: 5 sample: 0
[36, 50]: input idx: -1, input_number: 5 sample: 0
[7, 20]: input idx: -1, input_number: 5 sample: 0
[38, 146]: input idx: -1, input_number: 5 sample: 0
[30, 136]: input idx: -1, input_number: 5 sample: 0
[1, 134]: input idx: -1, input_number: 5 sample: 0
[32, 155]: input idx: -1, input_number: 5 sample: 0
[3, 37]: input idx: -1, input_number: 5 sample: 0
[34, 52]: input idx: -1, input_number: 5 sample: 0
[36, 51]: input idx: -1, input_number: 5 sample: 0
[7, 21]: input idx: -1, input_number: 5 sample: 0
[38, 147]: input idx: -1, input_number: 5 sample: 0
[30, 137]: input idx: -1, input_number: 5 sample: 0
[1, 135]: input idx: -1, input_number: 5 sample: 0
[32, 156]: input idx: -1, input_number: 5 sample: 0
[3, 38]: input idx: -1, input_number: 5 sample: 0
[34, 53]: input idx: -1, input_number: 5 sample: 0
[36, 52]: input idx: -1, input_number: 5 sample: 0
[7, 22]: input idx: -1, input_number: 5 sample: 0
[38, 148]: input idx: -1, input_number: 5 sample: 0
[30, 138]: input idx: -1, input_number: 5 sample: 0
[1, 136]: input idx: -1, input_number: 5 sample: 0
[32, 157]: input idx: -1, input_number: 5 sample: 0
[3, 39]: input idx: -1, input_number: 5 sample: 0
[34, 54]: input idx: -1, input_number: 5 sample: 0
[5, 64]: input idx: -1, input_number: 5 sample: 0
[36, 53]: input idx: -1, input_number: 5 sample: 0
[7, 23]: input idx: -1, input_number: 5 sample: 0
[38, 149]: input idx: -1, input_number: 5 sample: 0
[30, 139]: input idx: -1, input_number: 5 sample: 0
[1, 137]: input idx: -1, input_number: 5 sample: 0
[32, 158]: input idx: -1, input_number: 5 sample: 0
[3, 40]: input idx: -1, input_number: 5 sample: 0
[34, 55]: input idx: -1, input_number: 5 sample: 0
[5, 65]: input idx: -1, input_number: 5 sample: 0
[36, 54]: input idx: -1, input_number: 5 sample: 0
[7, 24]: input idx: -1, input_number: 5 sample: 0
[38, 150]: input idx: -1, input_number: 5 sample: 0
[30, 140]: input idx: -1, input_number: 5 sample: 0
[1, 138]: input idx: -1, input_number: 5 sample: 0
[32, 159]: input idx: -1, input_number: 5 sample: 0
[3, 41]: input idx: -1, input_number: 5 sample: 0
[34, 56]: input idx: -1, input_number: 5 sample: 0
[5, 66]: input idx: -1, input_number: 5 sample: 0
[36, 55]: input idx: -1, input_number: 5 sample: 0
[7, 25]: input idx: -1, input_number: 5 sample: 0
[38, 151]: input idx: -1, input_number: 5 sample: 0
[30, 141]: input idx: -1, input_number: 5 sample: 0
[1, 139]: input idx: -1, input_number: 5 sample: 0
[3, 42]: input idx: -1, input_number: 5 sample: 0
[34, 57]: input idx: -1, input_number: 5 sample: 0
[5, 67]: input idx: -1, input_number: 5 sample: 0
[36, 56]: input idx: -1, input_number: 5 sample: 0
[7, 26]: input idx: -1, input_number: 5 sample: 0
[38, 152]: input idx: -1, input_number: 5 sample: 0
[30, 142]: input idx: -1, input_number: 5 sample: 0
[1, 140]: input idx: -1, input_number: 5 sample: 0
[3, 43]: input idx: -1, input_number: 5 sample: 0
[34, 58]: input idx: -1, input_number: 5 sample: 0
[5, 68]: input idx: -1, input_number: 5 sample: 0
[36, 57]: input idx: -1, input_number: 5 sample: 0
[7, 27]: input idx: -1, input_number: 5 sample: 0
[38, 153]: input idx: -1, input_number: 5 sample: 0
[30, 143]: input idx: -1, input_number: 5 sample: 0
[1, 141]: input idx: -1, input_number: 5 sample: 0
[3, 44]: input idx: -1, input_number: 5 sample: 0
[34, 59]: input idx: -1, input_number: 5 sample: 0
