Running 1 simulations with a radial tolerance of 0.001000
Running simulation 0
j:618 output polarization: -5.026864e-03
j:619 output polarization: -5.026864e-03
j:620 output polarization: -5.026864e-03
j:621 output polarization: -5.026864e-03
j:622 output polarization: -5.026864e-03
j:623 output polarization: -5.026864e-03
j:624 output polarization: -5.026864e-03
j:625 output polarization: -5.026864e-03
j:626 output polarization: -5.026864e-03
j:627 output polarization: -5.026864e-03
j:628 output polarization: -5.026864e-03
j:629 output polarization: -5.026864e-03
j:630 output polarization: -5.026864e-03
j:631 output polarization: -5.026864e-03
j:632 output polarization: -5.026864e-03
j:633 output polarization: -5.026864e-03
j:634 output polarization: -5.026864e-03
j:635 output polarization: -5.026864e-03
j:636 output polarization: -5.026864e-03
j:637 output polarization: -5.026864e-03
j:638 output polarization: -5.026864e-03
j:639 output polarization: -5.026864e-03
j:640 output polarization: -5.026864e-03
j:641 output polarization: -5.026864e-03
j:642 output polarization: -5.026864e-03
j:643 output polarization: -5.026864e-03
j:644 output polarization: -5.026864e-03
j:645 output polarization: -5.026864e-03
j:646 output polarization: -5.026864e-03
j:647 output polarization: -5.026864e-03
j:648 output polarization: -5.026864e-03
j:649 output polarization: -5.026864e-03
j:650 output polarization: -5.026864e-03
j:651 output polarization: -5.026864e-03
j:652 output polarization: -5.026864e-03
j:653 output polarization: -5.026864e-03
j:654 output polarization: -5.026864e-03
j:655 output polarization: -5.026864e-03
j:656 output polarization: -5.026864e-03
j:657 output polarization: -5.026864e-03
j:658 output polarization: -5.026864e-03
j:659 output polarization: -5.026864e-03
j:660 output polarization: -5.026864e-03
j:661 output polarization: -5.026864e-03
j:662 output polarization: -5.026864e-03
j:663 output polarization: -5.026864e-03
j:664 output polarization: -5.026864e-03
j:665 output polarization: -5.026864e-03
j:666 output polarization: -5.026864e-03
j:667 output polarization: -5.026864e-03
j:668 output polarization: -5.026864e-03
j:669 output polarization: -5.026864e-03
j:670 output polarization: -5.026864e-03
j:671 output polarization: -5.026864e-03
j:672 output polarization: -5.026864e-03
j:673 output polarization: -5.026864e-03
j:674 output polarization: -5.026864e-03
j:675 output polarization: -5.026864e-03
j:676 output polarization: -5.026864e-03
j:677 output polarization: -5.026864e-03
j:678 output polarization: -5.026864e-03
j:679 output polarization: -5.026864e-03
j:680 output polarization: -5.026864e-03
j:681 output polarization: -5.026864e-03
j:682 output polarization: -5.026864e-03
j:683 output polarization: -5.026864e-03
j:684 output polarization: -5.026864e-03
j:685 output polarization: -5.026864e-03
j:686 output polarization: -5.026864e-03
j:687 output polarization: -5.026864e-03
j:688 output polarization: -5.026864e-03
j:689 output polarization: -5.026864e-03
j:690 output polarization: -5.026864e-03
j:691 output polarization: -5.026864e-03
j:692 output polarization: -5.026864e-03
j:693 output polarization: -5.026864e-03
j:694 output polarization: -5.026864e-03
j:695 output polarization: -5.026864e-03
j:696 output polarization: -5.026864e-03
j:697 output polarization: -5.026864e-03
j:698 output polarization: -5.026864e-03
j:699 output polarization: -5.026864e-03
j:700 output polarization: -5.026864e-03
j:701 output polarization: -5.026864e-03
j:702 output polarization: -5.026864e-03
j:703 output polarization: -5.026864e-03
j:704 output polarization: -5.026864e-03
j:705 output polarization: -5.026864e-03
j:706 output polarization: -5.026864e-03
j:707 output polarization: -5.026864e-03
j:708 output polarization: -5.026864e-03
j:709 output polarization: -5.026864e-03
j:710 output polarization: -5.026864e-03
j:711 output polarization: -5.026864e-03
j:712 output polarization: -5.026864e-03
j:713 output polarization: -5.026864e-03
j:714 output polarization: -5.026864e-03
j:715 output polarization: -5.026864e-03
j:716 output polarization: -5.026864e-03
j:717 output polarization: -5.026864e-03
j:718 output polarization: -5.026864e-03
j:719 output polarization: -5.026864e-03
j:720 output polarization: -5.026864e-03
j:721 output polarization: -5.026864e-03
j:722 output polarization: -5.026864e-03
j:723 output polarization: -5.026864e-03
j:724 output polarization: -5.026864e-03
j:725 output polarization: -5.026864e-03
j:726 output polarization: -5.026864e-03
j:727 output polarization: -5.026864e-03
j:728 output polarization: -5.026864e-03
j:729 output polarization: -5.026864e-03
j:730 output polarization: -5.026864e-03
j:731 output polarization: -5.026864e-03
j:732 output polarization: -5.026864e-03
j:733 output polarization: -5.026864e-03
j:734 output polarization: -5.026864e-03
j:735 output polarization: -5.026864e-03
j:736 output polarization: -5.026864e-03
j:737 output polarization: -5.026864e-03
j:738 output polarization: -5.026864e-03
j:739 output polarization: -5.026864e-03
j:740 output polarization: -5.026864e-03
j:741 output polarization: -5.026864e-03
j:742 output polarization: -5.026864e-03
j:743 output polarization: -5.026864e-03
j:744 output polarization: -5.026864e-03
j:745 output polarization: -5.026864e-03
j:746 output polarization: -5.026864e-03
j:747 output polarization: -5.026864e-03
j:748 output polarization: -5.026864e-03
j:749 output polarization: -5.026864e-03
j:750 output polarization: -5.026864e-03
j:751 output polarization: -5.026864e-03
j:752 output polarization: -5.026864e-03
j:753 output polarization: -5.026864e-03
j:754 output polarization: -5.026864e-03
j:755 output polarization: -5.026864e-03
j:756 output polarization: -5.026864e-03
j:757 output polarization: -5.026864e-03
j:758 output polarization: -5.026864e-03
j:759 output polarization: -5.026864e-03
j:760 output polarization: -5.026864e-03
j:761 output polarization: -5.026864e-03
j:762 output polarization: -5.026864e-03
j:763 output polarization: -5.026864e-03
j:764 output polarization: -5.026864e-03
j:765 output polarization: -5.026864e-03
j:766 output polarization: -5.026864e-03
